SOFIA_name,SOFIA_name,Coordinates,RA,DEC,Property,R37,F37
S140.8,S140.8,22h19m18.4s +63d18m49.8s,334.82654,63.313836,Total_Cluster,2.09013160664,5840.63870357
CepA.4,CepA.4,22h56m19.0s +62d01m54.4s,344.07913,62.031778,Extended,2.60781665272,5392.05974307
S140.5,S140.5,22h19m18.1s +63d18m47.0s,334.82557,63.313065,Extended,1.13287352963,2278.6132082
S140.3,S140.3,22h19m19.8s +63d18m49.6s,334.83234,63.313779,Clustered,3.02142806843,525.900931501
NGC2264.14,NGC2264.14,06h41m10.2s +09d29m33.3s,100.29251,9.4925956,Isolated,1.04714929566,425.183578336
NGC2071.7,NGC2071.7,05h47m04.9s +00d21m46.4s,86.770544,0.36287845,Total_Cluster,1.83124730133,362.99011201
S140.4,S140.4,22h19m18.2s +63d19m03.9s,334.82578,63.31776,Clustered,2.23592032219,352.064528686
NGC2071.6,NGC2071.6,05h47m07.8s +00d18m01.7s,86.782492,0.30048554,Extended,3.23087322462,274.046294413
Oph.12,Oph.12,16h26m34.0s -24d23m40.7s,246.64154,-24.394644,Extended,2.96946033021,244.997024164
NGC2071.1,NGC2071.1,05h47m04.8s +00d21m43.1s,86.769935,0.36197272,Isolated,1.16774465884,234.929899038
NGC1333.2,NGC1333.2,03h29m10.3s +31d21m55.5s,52.292875,31.365424,Extended,2.23210518075,135.723201868
NGC1333.8,NGC1333.8,03h29m03.7s +31d16m03.9s,52.265407,31.267754,Isolated,0.770085237197,106.511011902
NGC2071.2,NGC2071.2,05h47m04.7s +00d21m48.2s,86.76941,0.36338917,Isolated,2.12723054777,89.5462565737
Oph.3,Oph.3,16h27m09.4s -24d37m18.3s,246.78931,-24.621749,Isolated,0.992850165118,87.378670328
Oph.7,Oph.7,16h27m28.0s -24d39m33.8s,246.86663,-24.659398,Isolated,0.970612290989,70.4801420784
NGC7129.3,NGC7129.3,21h42m59.7s +66d06m11.3s,325.74875,66.103147,Extended,2.57200990698,59.2531433213
Oph.8,Oph.8,16h27m37.2s -24d30m34.8s,246.90496,-24.509678,Isolated,1.01530330326,51.6408105728
IRAS20050.8,IRAS20050.8,20h07m06.5s +27d28m54.3s,301.77718,27.481741,Total_Cluster,2.05412274392,49.3341506824
Oph.11,Oph.11,16h26m59.2s -24d35m00.2s,246.74656,-24.583394,Extended,2.60047121984,47.6722162669
NGC1333.9,NGC1333.9,03h28m55.6s +31d14m36.6s,52.231633,31.24351,Isolated,0.79950882835,45.7381040484
NGC2071.3,NGC2071.3,05h47m05.4s +00d21m50.3s,86.772367,0.36396711,Isolated,0.0,37.5559961107
NGC7129.1,NGC7129.1,21h43m06.4s +66d06m55.4s,325.77663,66.115386,Extended,0.0,35.7772920379
CepA.2,CepA.2,22h56m03.0s +62d02m58.0s,344.01262,62.049456,Extended,1.71129462762,31.4099568934
Oph.1,Oph.1,16h27m10.3s -24d19m12.9s,246.79276,-24.320242,Isolated,0.916298194129,29.2000735705
NGC7129.2,NGC7129.2,21h43m01.8s +66d07m08.7s,325.75747,66.119079,Extended,1.60337989127,26.290658202
NGC1333.11,NGC1333.11,03h28m37.1s +31d13m30.0s,52.154613,31.22499,Isolated,1.01680975093,23.3135193026
NGC2264.15,NGC2264.15,06h41m12.7s +09d29m04.5s,100.30277,9.4845964,Isolated,1.02571586706,22.3511121598
IRAS20050.3,IRAS20050.3,20h07m06.3s +27d28m56.6s,301.77633,27.48238,Clustered,1.99829331699,19.3346568592
NGC2264.13,NGC2264.13,06h41m08.9s +09d29m44.9s,100.28719,9.4957925,Isolated,1.26493622099,18.9113891229
Oph.4,Oph.4,16h27m02.5s -24d37m27.6s,246.76021,-24.624333,Extended,1.80118920392,17.928454176
NGC1333.10,NGC1333.10,03h28m57.4s +31d14m15.0s,52.23925,31.237488,Isolated,0.79938862561,15.6309962208
NGC2264.16,NGC2264.16,06h41m02.8s +09d36m14.7s,100.26164,9.6040813,Extended,2.12482037445,14.5458581062
IRAS20050.4,IRAS20050.4,20h07m05.9s +27d28m59.2s,301.77441,27.483106,Clustered,2.08720499578,12.8454007384
IRAS20050.2,IRAS20050.2,20h07m06.2s +27d28m49.1s,301.77582,27.480313,Clustered,2.28046644929,11.9596603139
S140.1,S140.1,22h19m32.7s +63d19m24.4s,334.88618,63.323456,Isolated,0.913042833457,11.0803521416
NGC1333.1,NGC1333.1,03h29m07.7s +31d21m57.0s,52.281972,31.365838,Isolated,0.746144557991,10.9935058315
NGC1333.3,NGC1333.3,03h29m01.5s +31d20m20.5s,52.256301,31.339032,Isolated,0.904211634658,9.40644442255
NGC2264.1,NGC2264.1,06h41m04.5s +09d36m20.5s,100.26858,9.6056809,Isolated,0.878480435775,9.12408142905
CepC.4,CepC.4,23h05m49.7s +62d30m00.8s,346.45699,62.500216,Extended,1.53578423997,8.44515624056
Oph.6,Oph.6,16h27m15.7s -24d38m45.8s,246.81534,-24.646048,Isolated,1.29413119865,8.17948388249
Oph.2,Oph.2,16h26m44.2s -24d34m48.2s,246.68405,-24.58005,Isolated,0.925523367665,7.94113849476
NGC7129.4,NGC7129.4,21h42m50.2s +66d06m36.1s,325.70927,66.11004,Extended,1.63215977375,6.52365407013
IRAS20050.1,IRAS20050.1,20h07m06.6s +27d28m48.0s,301.77766,27.479992,Clustered,0.0,6.32387156384
Oph.9,Oph.9,16h27m21.8s -24d29m53.7s,246.84073,-24.498241,Isolated,0.0,5.80611571019
S140.2,S140.2,22h19m20.9s +63d18m28.8s,334.83689,63.308009,Isolated,0.0,5.74751557017
CepA.3,CepA.3,22h56m14.0s +62d02m17.3s,344.05817,62.038134,Isolated,1.42421734776,5.69698713229
IRAS20050.5,IRAS20050.5,20h07m06.6s +27d28m53.1s,301.77738,27.481427,Clustered,2.06671207231,5.64484453374
NGC2264.2,NGC2264.2,06h40m59.1s +09d35m50.5s,100.24633,9.5973728,Isolated,1.13309696302,4.76573259692
NGC2264.11,NGC2264.11,06h41m11.3s +09d29m05.6s,100.29716,9.4848931,Isolated,1.06928753781,4.07865059107
NGC2071.4,NGC2071.4,05h47m04.0s +00d22m10.5s,86.766732,0.36958191,Isolated,0.96180905853,4.00975099726
CepC.1,CepC.1,23h05m45.8s +62d30m21.4s,346.44067,62.505957,Isolated,0.879396393764,3.97848450699
NGC2264.4,NGC2264.4,06h41m09.9s +09d35m40.5s,100.29144,9.5945833,Isolated,1.07088621586,3.93587829597
S171.1,S171.1,00h03m59.8s +68d35m05.8s,0.99921118,68.584948,Isolated,1.03452799702,3.85563593584
NGC2071.5,NGC2071.5,05h47m10.7s +00d21m14.0s,86.794539,0.35388063,Isolated,1.11435624782,3.80504197322
Oph.10,Oph.10,16h27m17.5s -24d28m55.0s,246.82305,-24.481945,Isolated,1.26014620327,3.74091315856
Oph.5,Oph.5,16h27m06.8s -24d38m15.4s,246.77825,-24.637615,Isolated,1.30789471572,3.05446598812
NGC1333.4,NGC1333.4,03h29m11.1s +31d18m30.8s,52.296422,31.308554,Isolated,1.10255145149,3.03998348872
NGC1333.7,NGC1333.7,03h28m43.4s +31d17m34.8s,52.180693,31.292999,Isolated,1.18928947074,2.61352210026
Oph.16,Oph.16,16h26m24.1s -24d24m48.3s,246.6003,-24.413428,Isolated,1.79788011537,2.370659651
NGC1333.5,NGC1333.5,03h29m10.6s +31d18m19.6s,52.294326,31.305431,Isolated,1.62346989206,2.16645658958
NGC2264.3,NGC2264.3,06h41m06.5s +09d35m54.2s,100.27704,9.5983873,Isolated,1.61064927797,2.15044002325
NGC2264.7,NGC2264.7,06h41m05.7s +09d34m06.9s,100.27377,9.5685846,Isolated,1.70278066336,2.10347280725
S140.7,S140.7,22h19m14.7s +63d19m00.0s,334.81105,63.316662,Isolated,0.0,2.10303848041
IRAS20050.7,IRAS20050.7,20h07m07.9s +27d27m15.8s,301.78303,27.454384,Isolated,0.0,2.08792666
