SOFIA_name,Coordinates,Property,j,e_j,h,e_h,ks,e_ks,i1,e_i1,i2,e_i2,i3,e_i3,i4,e_i4,F11,e_F11,F19,e_F19,m1,e_m1,F31,e_F31,F37,e_F37,m2,e_m2,H70,e_H70,H160,e_H160,H250,e_H250,H350,e_H350,H500,e_H500,S850,e_S850,F1100,e_F1100,S1300,e_S1300,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
CepA.4,22h56m19.0s +62d01m54.4s,Extended,0.0007,0.0007,0.0234368927777,0.00234368927777,0.251843303442,0.0251843303442,,,,,,,,,3.61759907332,0.256573347945,181.233628675,12.6875685572,,,3260.37624534,228.226542625,5392.05974307,377.444344793,,,,,,,,,,,,,,,,,,,2.60781665272,2003.98681938,2.39865530932,9.92443988323,22.1679992676,1.77609360218,,374.399993896,0.0,2003.98681938,0.0,14.0,1.29999995232
S140.5,22h19m18.1s +63d18m47.0s,Extended,0.0190936271101,0.00190936271101,0.195478871465,0.0195478871465,2.34385228157,0.234385228157,,,,,,,,,110.567145688,7.81181222866,830.967244019,59.1160730151,,,2065.12631899,150.151066903,2278.6132082,163.495560714,,,,,,,,,,,,,,,,,,,1.13287352963,4129.67613146,1.47570062674,7.28251565099,22.1679992676,1.63947093487,,374.399993896,0.0,4129.67613146,0.0,0.0,1.29999995232
S140.3,22h19m19.8s +63d18m49.6s,Clustered,0.0018573270645,0.000326889567077,0.0203376039863,0.00400650780648,0.274872004986,0.0755546167493,,,,,,,,,10.2829763488,0.744354056096,101.486960755,7.41948099782,,,419.411302558,61.3880122004,525.900931501,91.2160503628,,,,,,,,,,,,,,,,,,,3.02142806843,631.578664174,1.67696489645,1.96964641213,14.7790002823,2.34497976303,,331.199981689,27.3220729828,631.578664174,0.0,13.0,1.14999997616
NGC2264.14,06h41m10.2s +09d29m33.3s,Isolated,0.0397454947233,0.00397454947233,0.897634983063,0.0897634983063,7.15040302277,0.715040302277,,,,,,,,,102.475607753,7.17523028633,248.259750542,17.3834708924,,,394.966701716,27.6895759921,425.183578336,29.8049305788,,,,,,,,,,,,,,,,,,,1.04714929566,1856.06381534,0.409632224432,1.56503907442,14.7790002823,1.90783131123,,374.399993896,0.0,1856.06381534,0.0,0.0,1.29999995232
S140.4,22h19m18.2s +63d19m03.9s,Clustered,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,,,,,,,,,3.79742113248,0.277032229353,88.9501293578,6.29721983575,,,337.22319974,23.9196173422,352.064528686,25.3893158308,,,,,,,,,,,,,,,,,,,2.23592032219,455.759081801,3.56360089987,3.77038905621,14.7790002823,1.94630670547,,331.199981689,24.9415206909,455.759081801,0.0,13.0,1.14999997616
NGC2071.6,05h47m07.8s +00d18m01.7s,Extended,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.00759303952955,0.0034625602973,0.00510751635051,0.00510751635051,0.0127094013931,0.0127094013931,0.03174815005,0.03174815005,21.1734685736,1.49810568745,43.2916932659,3.06376176304,,,120.163406001,8.4526876233,274.046294413,19.197631935,,,7.80958929382,7.80958929382,5.50346199011,5.50346199011,7.70120947917,7.70120947917,7.15754040968,6.07360611486,3.63038488121,3.49736724288,,,,,,,3.23087322462,77.7081355395,3.77351458182,0.0,0.0,0.0,,0.0,0.0,77.7081355395,0.0,0.0,0.0
Oph.12,16h26m34.0s -24d23m40.7s,Extended,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,,,,,,,,,1.62225104712,0.234588757185,49.0153769134,3.43994351617,,,185.704774534,13.0214895764,244.997024164,17.1977423274,,,38.0222477188,16.3672795882,31.8748799336,31.8748799336,160.940055767,160.940055767,119.104439885,119.104439885,63.3975584561,63.3975584561,,,,,,,2.96946033021,10.2804097118,3.36979588138,1.04698764284,0.0759999975562,0.0248878058046,,39.8999977112,4.96137094498,10.2804097118,86.983039856,14.0,0.699999988079
NGC2071.1,05h47m04.8s +00d21m43.1s,Isolated,0.0007,0.0007,0.00218524294905,0.000233821003349,0.0218338631094,0.00218338631094,0.13530070783,0.013530070783,0.602086114571,0.0602086114571,1.74838849582,0.174838849582,4.86667305988,0.486667305988,10.0724189427,0.732018020669,72.0405818894,5.08657008308,,,167.929341451,12.2899604758,234.929899038,17.6923376048,,,580.088102444,58.0088102444,1061.32869297,106.132869297,631.2959504,63.12959504,322.773013462,32.2773013462,128.757185912,12.8757185912,,,,,3.7,0.7,1.16774465884,297.179194393,2.309112725,2.82610494569,22.1679992676,2.5968568325,13.5209174589,43.7000007629,3.28637313843,297.179194393,0.0,14.0,1.0
NGC1333.2,03h29m10.3s +31d21m55.5s,Extended,0.285291165113,0.0285291165113,0.653882622719,0.0653882622719,0.901011824608,0.0901011824608,0.637,0.0637,0.446,0.0446,0.448,0.0798,0.912524580956,0.127753436565,8.41443304927,0.595772720487,36.516910149,2.56201842733,,,106.489878905,7.45666094266,135.723201868,9.50728203162,,,70.0387477129,7.00387477129,77.5738895874,20.036311711,87.6608131873,15.0143726454,51.5059369017,16.1140880666,24.7419703378,13.0617717554,,,,,,,2.23210518075,27.8317523144,1.24296695345,1.77372672753,22.1679992676,9.90133094788,,7.69999980927,1.1129399538,27.8317523144,0.0,2.0,0.699999988079
NGC1333.8,03h29m03.7s +31d16m03.9s,Isolated,0.0342364013195,0.00342364013195,0.140831500292,0.0140831500292,0.360023319721,0.0360023319721,0.904,0.0904,0.359,0.0687,2.75,0.331,5.69,0.569,4.12582420332,0.292107593266,25.0423607169,1.75717351882,,0.434,99.1196287054,6.94032453427,106.511011902,7.46321577131,125.0,12.5,187.822183604,18.7822183604,228.025009042,22.8025009042,156.558418336,15.6558418336,90.1905097092,14.0849443338,42.4356473828,13.6502623758,,,2.7,0.27,,,0.770085237197,35.1064063348,1.14656005348,1.06154005,1.94599997997,0.74572634697,2.01972472416,17.0,2.38939857483,35.1064063348,0.0,13.0,1.29999995232
NGC2071.2,05h47m04.7s +00d21m48.2s,Isolated,0.0007,0.0007,0.0009,0.0009,0.00468522356823,0.002,0.0610624986728,0.00610624986728,0.24786323027,0.024786323027,0.411565254779,0.0411565254779,0.933950965159,0.0933950965159,0.482934784485,0.482934784485,11.2074076813,1.53360264791,,,56.7033633731,8.09238253055,89.5462565737,13.5686461201,,,513.041266667,51.3041266667,1025.08273004,102.508273004,626.948079945,62.6948079945,321.320590921,32.1320590921,128.722739141,12.8722739141,,,,,5.6,1.1,2.12723054777,199.940437873,2.2135378747,1.2776027653,22.1679992676,14.2377290726,20.4640912891,74.0999984741,20.7493934631,199.940437873,18.6717185974,14.0,1.29999995232
Oph.3,16h27m09.4s -24d37m18.3s,Isolated,0.0007,0.0007,0.0389672666788,0.00389672666788,0.928817808628,0.0928817808628,,0.0217,,,12.8,1.35,,0.0312,20.6968824736,1.45063678193,57.1945870872,4.00500759713,,0.48,83.5498162056,5.85601699139,87.378670328,6.16362506977,49.1,4.91,84.8399405495,8.48399405495,65.5511016136,6.8048762076,36.4908797409,9.75963465176,16.3025062201,9.27257507582,7.56518780246,7.56518780246,0.41,0.041,0.057,0.0057,0.095,0.0095,0.992850165118,13.3947191576,0.544348947582,1.54348170234,0.00400000018999,0.00181560008787,0.0404777534421,85.0,19.7419528961,13.3947191576,0.0,14.0,1.0
Oph.7,16h27m28.0s -24d39m33.8s,Isolated,0.0007,0.0007,0.0034601863008,0.00034601863008,0.047025192529,0.0047025192529,0.731,0.0971,1.83,0.183,2.94,0.294,2.32,0.252,2.9271790301,0.224176820542,30.7219150458,2.16258127825,,,70.9402183329,4.97279468141,70.4801420784,4.95663516443,34.7,3.47,65.5166286097,6.55166286097,44.630178858,4.4630178858,37.3632046782,24.1134187361,23.6575314428,22.4856179384,15.3131364315,15.3131364315,0.36,0.036,0.36,0.036,0.06,0.006,0.970612290989,6.47409059038,1.35225276637,1.39202384065,0.0149999996647,0.00233952398412,0.0255648969108,26.579000473,3.49349093437,6.47409059038,71.5915222168,14.0,0.699999988079
NGC7129.3,21h42m59.7s +66d06m11.3s,Extended,0.0177536644042,0.00177536644042,0.0138388415799,0.00138388415799,0.00754971196875,0.002,,,,,,,,,0.0580319194738,0.0580319194738,5.46705202987,0.386764639746,,,47.8114910521,3.3501151249,59.2531433213,4.14874735232,,,,,,,,,,,,,,,,,,,2.57200990698,60.4101943482,2.19852604948,0.383391371369,0.384000003338,0.153388664126,,331.199981689,28.0918540955,60.4101943482,18.6717185974,14.0,1.14999997616
Oph.8,16h27m37.2s -24d30m34.8s,Isolated,0.0946429818869,0.00946429818869,0.305000245571,0.0305000245571,0.618202149868,0.0618202149868,1.41,0.141,1.6,0.16,4.06,0.406,6.0,0.6,3.53560542442,0.258553980596,23.107697192,1.62086288236,,,39.9505347051,2.79889376656,51.6408105728,3.6259417618,20.8,2.08,27.9322583096,2.79322583096,13.9257229962,2.40877710717,5.60360337351,5.60360337351,5.40853297021,5.40853297021,,,0.18,0.018,,,0.06,0.006,1.01530330326,5.01777861626,0.550147295028,1.13320243545,0.00700000021607,0.00184333475772,0.0255648969108,17.716999054,3.38727927208,5.01777861626,77.8468017578,12.0,0.699999988079
