SOFIA_name,Coordinates,Property,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
CepA.4,22h56m19.0s +62d01m54.4s,Extended,2.60781665272,2003.98681938,2.39865530932,9.92443988323,22.1679992676,1.77609360218,,374.399993896,0.0,2003.98681938,0.0,14.0,1.29999995232
S140.5,22h19m18.1s +63d18m47.0s,Extended,1.13287352963,4129.67613146,1.47570062674,7.28251565099,22.1679992676,1.63947093487,,374.399993896,0.0,4129.67613146,0.0,0.0,1.29999995232
S140.3,22h19m19.8s +63d18m49.6s,Clustered,3.02142806843,631.578664174,1.67696489645,1.96964641213,14.7790002823,2.34497976303,,331.199981689,27.3220729828,631.578664174,0.0,13.0,1.14999997616
NGC2264.14,06h41m10.2s +09d29m33.3s,Isolated,1.04714929566,1856.06381534,0.409632224432,1.56503907442,14.7790002823,1.90783131123,,374.399993896,0.0,1856.06381534,0.0,0.0,1.29999995232
S140.4,22h19m18.2s +63d19m03.9s,Clustered,2.23592032219,455.759081801,3.56360089987,3.77038905621,14.7790002823,1.94630670547,,331.199981689,24.9415206909,455.759081801,0.0,13.0,1.14999997616
NGC2071.6,05h47m07.8s +00d18m01.7s,Extended,3.23087322462,77.7081355395,3.77351458182,0.0,0.0,0.0,,0.0,0.0,77.7081355395,0.0,0.0,0.0
Oph.12,16h26m34.0s -24d23m40.7s,Extended,2.96946033021,10.2804097118,3.36979588138,1.04698764284,0.0759999975562,0.0248878058046,,39.8999977112,4.96137094498,10.2804097118,86.983039856,14.0,0.699999988079
NGC2071.1,05h47m04.8s +00d21m43.1s,Isolated,1.16774465884,297.179194393,2.309112725,2.82610494569,22.1679992676,2.5968568325,13.5209174589,43.7000007629,3.28637313843,297.179194393,0.0,14.0,1.0
NGC1333.2,03h29m10.3s +31d21m55.5s,Extended,2.23210518075,27.8317523144,1.24296695345,1.77372672753,22.1679992676,9.90133094788,,7.69999980927,1.1129399538,27.8317523144,0.0,2.0,0.699999988079
NGC1333.8,03h29m03.7s +31d16m03.9s,Isolated,0.770085237197,35.1064063348,1.14656005348,1.06154005,1.94599997997,0.74572634697,2.01972472416,17.0,2.38939857483,35.1064063348,0.0,13.0,1.29999995232
NGC2071.2,05h47m04.7s +00d21m48.2s,Isolated,2.12723054777,199.940437873,2.2135378747,1.2776027653,22.1679992676,14.2377290726,20.4640912891,74.0999984741,20.7493934631,199.940437873,18.6717185974,14.0,1.29999995232
Oph.3,16h27m09.4s -24d37m18.3s,Isolated,0.992850165118,13.3947191576,0.544348947582,1.54348170234,0.00400000018999,0.00181560008787,0.0404777534421,85.0,19.7419528961,13.3947191576,0.0,14.0,1.0
Oph.7,16h27m28.0s -24d39m33.8s,Isolated,0.970612290989,6.47409059038,1.35225276637,1.39202384065,0.0149999996647,0.00233952398412,0.0255648969108,26.579000473,3.49349093437,6.47409059038,71.5915222168,14.0,0.699999988079
