	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
0	13.0	21.0	8.0	38.1	125.0	232.9945	1.0609	-147.2693	1.608	1.773	115.975	1.69	4.025	138.3858	43.9535	-178.347	1.691	4.025	0.938336	0.88	0.04	0.92	7.79541e-06	8.59615e-06	0.000562262	7.79541e-06	8.59615e-06	0.000562262	8.19512e-06	1.12431	1.95138e-05
1	17.0	31.0	12.0	38.71	123.0	233.5931	1.0603	-147.236	0.952	0.98	82.987	0.966	4.025	138.3716	43.9466	-178.3234	0.966	4.025	0.976262	0.94	0.03	0.97	4.61598e-06	4.75077e-06	0.000402331	4.61598e-06	4.75077e-06	0.000402331	4.68298e-06	0.819257	1.95138e-05
2	9.0	21.0	9.0	42.86	114.0	232.5685	1.0614	-147.2186	0.853	0.869	88.653	0.861	4.025	138.3942	43.9577	-178.2906	0.861	4.025	0.926114	0.88	0.03	0.91	4.1354e-06	4.21296e-06	0.000429802	4.1354e-06	4.21296e-06	0.000429802	4.17383e-06	0.628306	1.95138e-05
3	11.0	22.0	7.0	31.82	103.0	230.7746	1.0635	-147.2475	1.786	1.78	130.565	1.783	4.025	138.3851	43.9561	-178.3257	1.783	4.025	1.887428	1.82	0.03	1.85	8.6607e-06	8.63001e-06	0.000632996	8.6607e-06	8.63001e-06	0.000632996	8.64461e-06	1.16538	1.95138e-05
4	13.0	32.0	12.0	37.5	112.0	232.3976	1.0617	-147.2484	0.951	0.967	81.966	0.959	4.025	138.3981	43.9597	-178.3178	0.959	4.025	0.951977	0.9	0.05	0.95	4.61028e-06	4.69051e-06	0.000397383	4.61028e-06	4.69051e-06	0.000397383	4.65e-06	0.815559	1.95138e-05
5	12.0	30.0	10.0	33.33	115.0	231.5429	1.0625	-147.2521	1.971	1.971	157.694	1.971	4.025	138.3685	43.9478	-178.3415	1.971	4.025	1.039837	1.0	0.03	1.03	9.55602e-06	9.55416e-06	0.000764524	9.55602e-06	9.55416e-06	0.000764524	9.55427e-06	1.54837	1.95138e-05
6	13.0	29.0	12.0	41.38	97.0	231.2866	1.0632	-147.2301	1.577	1.597	117.257	1.587	4.025	138.3741	43.951	-178.3158	1.587	4.025	1.002034	0.94	0.05	0.99	7.64638e-06	7.74126e-06	0.000568479	7.64638e-06	7.74126e-06	0.000568479	7.69316e-06	1.35665	1.95138e-05
7	15.0	25.0	10.0	40.0	107.0	233.0804	1.0605	-147.2448	1.254	1.317	94.289	1.286	4.025	138.3836	43.9519	-178.324	1.285	4.025	0.938297	0.9	0.03	0.93	6.08165e-06	6.38425e-06	0.000457124	6.08165e-06	6.38425e-06	0.000457124	6.23243e-06	0.963942	1.95138e-05
8	13.0	25.0	9.0	36.0	134.0	231.8846	1.0614	-147.2435	1.639	1.62	133.557	1.629	4.025	138.3613	43.9434	-178.3379	1.629	4.025	0.921275	0.88	0.03	0.91	7.94477e-06	7.85184e-06	0.000647502	7.94477e-06	7.85184e-06	0.000647502	7.89762e-06	1.19647	1.95138e-05
9	16.0	25.0	12.0	48.0	129.0	233.2512	1.0607	-147.2573	1.047	1.087	86.668	1.067	4.025	138.3796	43.9505	-178.3392	1.066	4.025	0.960043	0.91	0.05	0.96	5.07402e-06	5.26852e-06	0.000420178	5.07402e-06	5.26852e-06	0.000420178	5.17084e-06	0.888921	1.95138e-05
10	9.0	19.0	7.0	36.84	95.0	230.9452	1.0635	-147.27	1.382	1.387	123.736	1.384	4.025	138.3815	43.9545	-178.3507	1.384	4.025	0.923606	0.89	0.03	0.92	6.69824e-06	6.726e-06	0.000599887	6.69824e-06	6.726e-06	0.000599887	6.71154e-06	0.907196	1.95138e-05
11	15.0	31.0	10.0	32.26	114.0	231.6286	1.062	-147.2347	1.261	1.304	95.804	1.282	4.025	138.3665	43.9463	-178.3256	1.282	4.025	1.036865	0.98	0.03	1.01	6.11182e-06	6.31978e-06	0.000464471	6.11182e-06	6.31978e-06	0.000464471	6.21527e-06	0.986547	1.95138e-05
12	13.0	32.0	10.0	31.25	122.0	231.7136	1.0622	-147.2215	1.689	1.698	152.518	1.693	4.025	138.3649	43.9459	-178.3134	1.693	4.025	2.255976	2.15	0.05	2.2	8.18726e-06	8.23181e-06	0.00073943	8.18726e-06	8.23181e-06	0.00073943	8.20883e-06	1.32068	1.95138e-05
